AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00011288  33.0944  -86.7456  161.5 AL CALERA                                       TRADITIONAL  
USC00011301  32.0289  -87.3167   71.6 AL CAMDEN 3 NW                                  TRADITIONAL  
USC00011324  32.8236  -85.6561  207.3 AL CAMP HILL 2NW                                PSEUDONORMALS
USC00011377  33.8464  -87.4872  136.6 AL CARBON HILL 4SE                              TRADITIONAL  
USC00011490  34.1500  -85.6847  182.9 AL CENTRE                                       PSEUDONORMALS
USC00011620  33.2850  -86.3431  127.4 AL CHILDERSBURG WTR PL                          TRADITIONAL  
USC00011690  31.6167  -87.5500   15.2 AL CLAIBORNE L&D                                TRADITIONAL  
USC00011694  32.8203  -86.6522  185.9 AL CLANTON                                      TRADITIONAL  
USC00011810  31.7556  -88.1283   14.0 AL COFFEEVILLE L&D                              TRADITIONAL  
USC00012096  34.1925  -86.7972  247.2 AL CULLMAN NAHS                                 TRADITIONAL  
USC00012172  30.2506  -88.0775    2.4 AL DAUPHIN ISLAND #2                            TRADITIONAL  
USC00012245  32.5192  -87.8800   30.5 AL DEMOPOLIS L&D                                TRADITIONAL  
USC00012377  31.1942  -85.3708   83.8 AL DOTHAN                                       PSEUDONORMALS
USC00012577  31.4239  -86.0667   59.4 AL ELBA                                         TRADITIONAL  
USC00012675  31.2975  -85.8997  102.7 AL ENTERPRISE 4 W                               TRADITIONAL  
USC00012730  32.0111  -85.0900   70.1 AL EUFAULA WILDLIFE REF                         TRADITIONAL  
USC00012758  31.4450  -86.9533   88.4 AL EVERGREEN                                    TRADITIONAL  
USC00012813  30.5467  -87.8808    7.0 AL FAIRHOPE 2 NE                      HCN       TRADITIONAL  
USC00012840  34.3667  -86.8833  190.5 AL FALKVILLE 1 E                                TRADITIONAL  
USC00012883  33.6847  -87.8214  111.3 AL FAYETTE                                      TRADITIONAL  
USC00013043  34.4406  -85.7236  279.5 AL FT PAYNE                                     TRADITIONAL  
USC00013154  34.0219  -85.9878  172.2 AL GADSDEN                                      TRADITIONAL  
USC00013160  32.8347  -88.1342   38.1 AL GAINESVILLE LOCK                   HCN       TRADITIONAL  
USC00013251  31.0383  -85.8708   44.2 AL GENEVA #2                                    TRADITIONAL  
USC00013271  31.6772  -86.8061   91.4 AL GEORGIANA                                    TRADITIONAL  
USC00013430  33.6667  -87.1833  106.7 AL GORGAS 2 ENE                                 TRADITIONAL  
USC00013511  32.7019  -87.5817   67.1 AL GREENSBORO                         HCN       TRADITIONAL  
USC00013519  31.7900  -86.6086  104.2 AL GREENVILLE                                   TRADITIONAL  
USC00013573  34.3344  -86.3297  176.2 AL GUNTERSVILLE                                 TRADITIONAL  
USC00013575  34.3347  -86.3294  181.4 AL GUNTERSVILLE NO.2                            TRADITIONAL  
