AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00310843  35.6072  -82.3594  698.0 NC BLACK MTN 2 W                                TRADITIONAL  
USC00310901  36.1472  -81.7025 1173.5 NC BLOWING ROCK 1NW                             TRADITIONAL  
USC00310982  36.2114  -81.6442 1024.1 NC BOONE 1 SE                                   TRADITIONAL  
USC00311055  35.2283  -82.7358  676.7 NC BREVARD                                      TRADITIONAL  
USC00311081  35.7425  -81.8372  350.5 NC BRIDGEWATER HYDRO                            TRADITIONAL  
USC00311156  35.4286  -83.4383  618.1 NC BRYSON CITY 2                                PSEUDONORMALS
USC00311239  36.0603  -79.4481  201.2 NC BURLINGTON FIRE STN #5                       TRADITIONAL  
USC00311285  36.1414  -78.7736  108.2 NC BUTNER FLTR PLT                              TRADITIONAL  
USC00311420  35.5453  -82.6986  718.4 NC CANDLER 1W                                   TRADITIONAL  
USC00311437  35.7044  -82.7697  620.9 NC CANTO                                        TRADITIONAL  
USC00311441  35.5167  -82.8500  811.4 NC CANTON 1 SW                                  TRADITIONAL  
USC00311515  35.3319  -79.4067  134.1 NC CARTHAGE WTP                                 TRADITIONAL  
USC00311535  35.7192  -78.7878  118.9 NC CARY                                         PSEUDONORMALS
USC00311538  35.4967  -81.6131  320.0 NC CASAR                                        TRADITIONAL  
USC00311564  35.6375  -83.0956  807.7 NC CATALOOCHEE                                  TRADITIONAL  
USC00311579  35.7444  -81.0847  274.3 NC CATAWBA 3 NNW                                TRADITIONAL  
USC00311606  34.9833  -76.3000    2.4 NC CEDAR ISLAND                                 TRADITIONAL  
USC00311624  35.8297  -82.1769  816.9 NC CELO 2 S                                     TRADITIONAL  
USC00311677  35.9086  -79.0794  152.4 NC CHAPEL HILL 2 W                    HCN       TRADITIONAL  
USC00311820  35.6408  -78.4633   91.4 NC CLAYTON WTP                                  TRADITIONAL  
USC00311881  35.0247  -78.2758   48.2 NC CLINTON 2 NE                                 TRADITIONAL  
USC00311975  35.4111  -80.5833  213.4 NC CONCORD                                      TRADITIONAL  
USC00311990  35.8214  -81.1919  269.1 NC CONOVER OXFORD SHOALS                        TRADITIONAL  
USC00312102  35.0592  -83.4314  685.5 NC COWEETA EXP STN                              TRADITIONAL  
USC00312200  35.3117  -83.1747  668.1 NC CULLOWHEE                                    TRADITIONAL  
USC00312238  36.4147  -80.2169  256.0 NC DANBURY                                      TRADITIONAL  
USC00312500  35.3247  -78.6881   61.0 NC DUNN 4 NW                                    TRADITIONAL  
USC00312515  36.0425  -78.9625  121.9 NC DURHAM                                       TRADITIONAL  
USC00312560  34.3992  -78.3158   15.5 NC EAST ARCADIA 2 NE                            PSEUDONORMALS
USC00312631  36.4742  -79.7433  206.7 NC EDEN                                         TRADITIONAL  
USC00312635  36.0164  -76.5517    3.0 NC EDENTON                            HCN       TRADITIONAL  
USC00312719  36.3097  -76.2050    2.4 NC ELIZABETH CITY                     HCN       TRADITIONAL  
USC00312732  34.6044  -78.6481   31.4 NC ELIZABETHTOWN 3 SW                           PSEUDONORMALS
USC00312740  36.2544  -80.8650  265.2 NC ELKIN                                        TRADITIONAL  
USC00312827  36.1686  -77.6750   33.5 NC ENFIELD                                      TRADITIONAL  
USC00312837  35.5406  -82.6531  624.8 NC ENKA                                         TRADITIONAL  
USC00312993  35.9808  -78.6528   85.3 NC FALLS LAKE                                   PSEUDONORMALS
USC00313017  35.0583  -78.8583   29.3 NC FAYETTEVILLE PWC                   HCN       TRADITIONAL  
USC00313072  36.2528  -81.9136 1022.6 NC FLAT SPRINGS 1E                              PSEUDONORMALS
USC00313106  35.4267  -82.5575  630.9 NC FLETCHER 3 W                                 TRADITIONAL  
USC00313150  35.2653  -81.9311  301.8 NC FOREST CITY 6 SW                             TRADITIONAL  
USC00313152  35.3125  -81.9889  258.8 NC FOREST CITY 8 W                              PSEUDONORMALS
USC00313168  35.1778  -79.0239   48.8 NC FT BRAGG WTP                                 TRADITIONAL  
USC00313228  35.1803  -83.3928  647.7 NC FRANKLIN                                     TRADITIONAL  
USC00313356  35.2656  -81.1433  213.4 NC GASTONIA                                     TRADITIONAL  
USC00313555  36.0503  -79.3728  201.2 NC GRAHAM 2 ENE                                 TRADITIONAL  
USC00313565  36.0956  -81.8311 1615.4 NC GRANDFATHER MTN                              TRADITIONAL  
USC00313638  35.6400  -77.3983    9.8 NC GREENVILLE                                   TRADITIONAL  
USC00313784  34.8872  -79.6922  106.7 NC HAMLET                                       TRADITIONAL  
USC00313919  36.0639  -79.3831  193.9 NC HAW RIVER 1E                                 PSEUDONORMALS
USC00313921  35.0533  -83.8250  579.1 NC HAYESVILLE 1 SW                              PSEUDONORMALS
USC00313969  36.3481  -78.4119  146.3 NC HENDERSON 2 NNW                    HCN       TRADITIONAL  
USC00313976  35.3297  -82.4492  658.4 NC HENDERSONVILLE 1 NE                HCN       TRADITIONAL  
USC00314055  35.0567  -83.1983 1173.5 NC HIGHLANDS                          HCN       TRADITIONAL  
USC00314063  35.9672  -79.9722  274.3 NC HIGH POINT                                   TRADITIONAL  
USC00314144  34.8358  -77.3031   14.3 NC HOFMANN FOREST                               TRADITIONAL  
USC00314260  35.8950  -82.8311  425.5 NC HOT SPRINGS                                  TRADITIONAL  
USC00314385  36.3119  -81.4589  883.9 NC IDLEWILD                                     TRADITIONAL  
USC00314456  36.3967  -77.4239   39.6 NC JACKSON                                      TRADITIONAL  
USC00314464  35.1858  -79.6772  222.5 NC JACKSON SPRINGS 5 WNW                        TRADITIONAL  
USC00314471  34.7967  -77.4008    5.2 NC JACKSONVILLE EOC                             PSEUDONORMALS
USC00314675  36.2839  -80.3625  268.2 NC KING                                         PSEUDONORMALS
USC00314684  35.1967  -77.5433    7.3 NC KINSTON 7 SE                       HCN       TRADITIONAL  
USC00314689  35.2975  -77.5722   18.3 NC KINSTON AG RSCH                              TRADITIONAL  
USC00314764  35.4206  -82.1878  317.0 NC LAKE LURE 2                                  TRADITIONAL  
USC00314788  35.1150  -82.9567  938.8 NC LAKE TOXAWAY 2 SW                            TRADITIONAL  
USC00314860  34.7508  -79.4664   64.0 NC LAURINBURG                                   TRADITIONAL  
USC00314938  35.9150  -81.5378  365.8 NC LENOIR                             HCN       TRADITIONAL  
USC00314962  36.1325  -77.1708   15.2 NC LEWISTON                                     TRADITIONAL  
USC00314970  35.8458  -80.2597  231.6 NC LEXINGTON                                    TRADITIONAL  
USC00314996  35.4606  -81.3289  274.3 NC LINCOLNTON 4 W                               TRADITIONAL  
USC00315116  34.0103  -78.5450   12.2 NC LONGWOOD                                     TRADITIONAL  
USC00315123  36.1028  -78.3039   79.2 NC LOUISBURG                          HCN       TRADITIONAL  
USC00315175  34.3903  -79.0022   29.3 NC LUMBER RVR SP                                PSEUDONORMALS
USC00315177  34.6269  -79.0250   34.1 NC LUMBERTON                          HCN       TRADITIONAL  
USC00315340  35.6631  -82.0292  446.8 NC MARION 2 NW                        HCN       TRADITIONAL  
USC00315356  35.8036  -82.6658  609.6 NC MARSHALL                           HCN       TRADITIONAL  
USC00315743  35.8439  -80.4972  244.4 NC MOCKSVILLE 5SE                               TRADITIONAL  
USC00315771  34.9797  -80.5233  167.6 NC MONROE 2 SE                        HCN       TRADITIONAL  
USC00315830  34.7336  -76.7358    3.0 NC MOREHEAD CITY 2 WNW                HCN       TRADITIONAL  
USC00315838  35.7297  -81.6728  353.6 NC MORGANTON                          HCN       TRADITIONAL  
USC00315890  36.4992  -80.6508  317.3 NC MT AIRY 2 W                        HCN       TRADITIONAL  
USC00315913  35.3336  -80.9872  185.9 NC MT HOLLY 4 NE                                TRADITIONAL  
USC00315923  35.7586  -82.2711 1902.0 NC MT MITCHELL                                  TRADITIONAL  
USC00315996  36.4522  -77.0803   30.5 NC MURFREESBORO                                 TRADITIONAL  
USC00316001  35.0961  -84.0239  480.4 NC MURPHY                                       TRADITIONAL  
USC00316091  35.9167  -78.5667   85.3 NC NEUSE 2 NE                                   TRADITIONAL  
USC00316236  35.6625  -82.3469  755.9 NC NORTH FORK 2                                 TRADITIONAL  
USC00316256  36.1631  -81.1494  341.4 NC NORTH WILKESBORO                             TRADITIONAL  
USC00316341  35.5261  -83.3089  621.8 NC OCONALUFTEE                                  TRADITIONAL  
USC00316349  35.1075  -75.9872    1.2 NC OCRACOKE                                     TRADITIONAL  
USC00316422  34.9250  -77.5114    6.1 NC RICHLANDS                                    PSEUDONORMALS
USC00316507  36.3000  -78.6167  152.4 NC OXFORD 1 E                                   TRADITIONAL  
USC00316510  36.3022  -78.6108  152.4 NC OXFORD AG                                    TRADITIONAL  
USC00316602  35.9983  -81.5650  387.1 NC PATTERSON                                    TRADITIONAL  
USC00316676  35.0558  -77.0858    8.5 NC PERRYTOWN                                    PSEUDONORMALS
USC00316686  36.1558  -80.3700  289.6 NC PFAFFTOWN                                    PSEUDONORMALS
USC00316805  35.2719  -82.6475  667.5 NC PISGAH FOREST 3 NE                           TRADITIONAL  
USC00316853  35.8722  -76.6592    6.1 NC PLYMOUTH 5 E                                 TRADITIONAL  
USC00317056  34.9869  -79.2189   76.2 NC RAEFORD                                      TRADITIONAL  
USC00317074  35.7294  -78.6839  128.0 NC RALEIGH 4 SW                                 TRADITIONAL  
USC00317079  35.7944  -78.6989  121.9 NC RALEIGH STATE UNIV                           TRADITIONAL  
USC00317097  35.8222  -79.7917  246.9 NC RANDLEMAN                                    TRADITIONAL  
USC00317165  34.8122  -79.1622   54.9 NC RED SPRINGS 1 SE                             TRADITIONAL  
USC00317170  35.1311  -76.9153   13.7 NC REELSBORO                                    PSEUDONORMALS
USC00317202  36.3825  -79.6947  271.3 NC REIDSVILLE 2 NW                    HCN       TRADITIONAL  
USC00317229  35.7747  -81.4372  297.5 NC RHODHISS HYDRO PLT                           TRADITIONAL  
USC00317319  36.4783  -77.6717   64.0 NC ROANOKE RAPIDS                               TRADITIONAL  
USC00317346  35.3044  -83.8114  678.2 NC ROBBINSVILLE 1 S                             PSEUDONORMALS
USC00317395  35.9519  -77.8183   39.6 NC ROCKY MOUNT                                  TRADITIONAL  
USC00317400  35.8936  -77.6805   33.5 NC ROCKY MT 8 ESE                               TRADITIONAL  
USC00317486  35.1417  -82.8231  669.0 NC ROSMAN                                       TRADITIONAL  
USC00317499  36.2119  -78.8569  164.6 NC ROUGEMONT                                    TRADITIONAL  
USC00317516  36.3464  -78.8858  216.4 NC ROXBORO 7 ESE                                TRADITIONAL  
USC00317548  36.2333  -80.3069  292.6 NC RURAL HALL                                   PSEUDONORMALS
USC00317615  35.6836  -80.4822  213.4 NC SALISBURY                          HCN       TRADITIONAL  
USC00317618  35.6967  -80.6228  251.5 NC SALISBURY 9 WNW                              TRADITIONAL  
USC00317656  35.5347  -79.0464   79.9 NC SANFORD 8 NE                                 TRADITIONAL  
USC00317725  36.1369  -77.4230   30.5 NC SCOTLAND NECK #2                             TRADITIONAL  
USC00317813  33.9283  -78.3894    6.1 NC SHALLOTTE AG                                 PSEUDONORMALS
USC00317845  35.3144  -81.5336  280.4 NC SHELBY 2 NNE                                 TRADITIONAL  
USC00317924  35.7606  -79.4622  185.9 NC SILER CITY 2 N                               TRADITIONAL  
USC00317994  35.5164  -78.3458   45.7 NC SMITHFIELD                         HCN       TRADITIONAL  
USC00318113  33.9947  -78.0078    6.1 NC SOUTHPORT 5 N                      HCN       TRADITIONAL  
USC00318292  35.8100  -80.8808  289.6 NC STATESVILLE 2 NNE                  HCN       TRADITIONAL  
USC00318380  34.4478  -77.5739    7.3 NC SURF CITY                                    PSEUDONORMALS
USC00318448  35.5733  -82.3850 1316.7 NC SWANNANOA 2 SSE                              TRADITIONAL  
USC00318450  35.3950  -76.3261    0.9 NC SWANQUARTER FERRY                            PSEUDONORMALS
USC00318492  35.4478  -83.9389  338.3 NC TAPOCO                                       TRADITIONAL  
USC00318500  35.8847  -77.5386   10.7 NC TARBORO 1 S                        HCN       TRADITIONAL  
USC00318519  35.9225  -81.1717  402.3 NC TAYLORSVILLE                                 PSEUDONORMALS
USC00318694  36.3919  -81.3039  876.3 NC TRANSOU                            HCN       TRADITIONAL  
USC00318706  35.0628  -77.3547    9.1 NC TRENTON                                      TRADITIONAL  
USC00318744  35.2058  -82.2517  365.8 NC TRYON                                        TRADITIONAL  
USC00318778  35.9067  -80.8142  251.5 NC TURNERSBURG                                  TRADITIONAL  
USC00318964  34.9603  -80.0772  146.3 NC WADESBORO                                    TRADITIONAL  
USC00319026  34.7200  -77.9778    8.8 NC WALLACE                                      PSEUDONORMALS
USC00319100  35.5553  -77.0722    3.0 NC WASHINGTON WWTP 4W                           TRADITIONAL  
USC00319123  35.7742  -83.0981  438.9 NC WATERVILLE 2                                 TRADITIONAL  
USC00319147  35.4867  -82.9683  810.2 NC WAYNESVILLE 1 E                    HCN       TRADITIONAL  
USC00319354  34.2572  -78.6872   15.2 NC WHITEVILLE 5 S                               TRADITIONAL  
USC00319357  34.4094  -78.7914   27.4 NC WHITEVILLE 7 NW                              TRADITIONAL  
USC00319406  36.1500  -81.1833  359.1 NC WILKESBORO                                   TRADITIONAL  
USC00319423  34.6611  -78.0456   16.8 NC WILLARD 4 SW                                 TRADITIONAL  
USC00319427  34.8350  -78.8253    9.1 NC WILLIAM O HUSKE L&D                          TRADITIONAL  
USC00319440  35.8528  -77.0306    6.1 NC WILLIAMSTON 1 E                              TRADITIONAL  
USC00319461  34.1425  -77.8789    9.1 NC WILMINGTON 7 SE                              PSEUDONORMALS
USC00319467  34.3208  -77.9206   12.2 NC WILMINGTON 7 N                               TRADITIONAL  
USC00319476  35.6939  -77.9456   33.5 NC WILSON 3 SW                        HCN       TRADITIONAL  
USC00319555  36.1308  -81.2275  326.1 NC W KERR SCOTT RSVR                            TRADITIONAL  
USC00319675  36.1306  -80.5481  266.7 NC YADKINVILLE 6 E                              TRADITIONAL  
USC00319704  36.3783  -79.2544  199.6 NC YANCEYVILLE 4 SE                             TRADITIONAL  
USC00319923  35.7878  -78.3497   79.2 NC ZEBULON 3 SW                                 TRADITIONAL  
USC00320005  46.4500  -96.7333  285.0 ND ABERCROMBIE                                  TRADITIONAL  
USC00320022  48.3308  -98.1189  473.7 ND ADAMS 7 SSW                                  TRADITIONAL  
USC00320096  47.9022 -103.6608  652.3 ND ALEXANDER 4 NNW                              TRADITIONAL  
USC00320127  46.7253 -101.5050  583.7 ND ALMONT                                       TRADITIONAL  
USC00320189  48.9975 -103.4878  617.8 ND AMBROSE 3 N                                  TRADITIONAL  
USC00320209  46.4819 -103.3222  887.0 ND AMIDON                                       TRADITIONAL  
USC00320382  46.0406  -99.3742  613.9 ND ASHLEY                                       TRADITIONAL  
USC00320590  46.9283 -104.0158  853.4 ND BEACH                                        TRADITIONAL  
USC00320626  48.8411  -99.7508  597.4 ND BELCOURT KEYA RADIO                          PSEUDONORMALS
USC00320729  48.3139 -101.7328  634.0 ND BERTHOLD                                     TRADITIONAL  
USC00320766  47.2622 -101.7906  544.1 ND BEULAH 1 W                                   TRADITIONAL  
USC00320817  46.8339 -100.7969  558.1 ND BISMARCK 2.4 NNW                             PSEUDONORMALS
USC00320827  46.9367 -100.7444  624.8 ND BISMARCK 7 N                                 TRADITIONAL  
USC00320941  48.8217 -100.4525  493.5 ND BOTTINEAU                          HCN       TRADITIONAL  
USC00320961  48.7994 -102.2464  597.7 ND BOWBELLS                                     TRADITIONAL  
USC00320995  46.1825 -103.4061  908.3 ND BOWMAN                                       TRADITIONAL  
USC00321225  47.7947 -100.5847  524.3 ND BUTTE 5SE                                    TRADITIONAL  
USC00321288  48.4878  -99.1831  455.1 ND CANDO 1E                                     PSEUDONORMALS
USC00321360  47.4494  -99.1294  483.4 ND CARRINGTON                                   TRADITIONAL  
USC00321362  47.5089  -99.1211  475.5 ND CARRINGTON 4 N                               TRADITIONAL  
USC00321370  46.4250 -101.5742  711.7 ND CARSON                                       TRADITIONAL  
USC00321408  46.8769  -97.2328  285.0 ND CASSELTON AGRONOMY FM              HCN       TRADITIONAL  
USC00321435  48.8628  -97.7014  271.3 ND CAVALIER 7NW                                 TRADITIONAL  
USC00321456  47.0644 -101.2119  606.6 ND CENTER 4SE                                   PSEUDONORMALS
USC00321477  46.7958  -97.2686  294.1 ND CHAFFEE 5 NE                                 TRADITIONAL  
USC00321500  48.2725  -99.1986  445.0 ND CHURCHS FERRY                                PSEUDONORMALS
USC00321686  47.2428  -97.6561  359.7 ND COLGATE                                      TRADITIONAL  
USC00321699  48.9167 -102.8333  594.4 ND COLUMBUS                                     TRADITIONAL  
USC00321766  47.4050  -98.0381  420.6 ND COOPERSTOWN                                  TRADITIONAL  
USC00321816  47.2408  -98.5839  461.8 ND COURTENAY 1 NW                               TRADITIONAL  
USC00321871  48.9075 -103.2944  595.0 ND CROSBY                             HCN       TRADITIONAL  
USC00322188  46.8911 -102.8111  749.8 ND DICKINSON EXP STN                  HCN       TRADITIONAL  
USC00322193  47.1944 -102.8414  725.4 ND DICKINSON RCH HQ                             TRADITIONAL  
USC00322304  48.0475 -100.3100  466.3 ND DRAKE 9 NE                                   TRADITIONAL  
USC00322365  47.3464 -102.5867  671.8 ND DUNN CENTER 1E                     HCN       TRADITIONAL  
USC00322482  46.3694  -98.7661  474.9 ND EDGELEY 3WNW                                 TRADITIONAL  
USC00322525  48.4267  -98.4700  467.9 ND EDMORE 1NW                                   TRADITIONAL  
USC00322588  46.4089 -101.8419  731.5 ND ELGIN                                        TRADITIONAL  
USC00322605  46.0108  -98.5261  443.5 ND ELLENDALE                                    TRADITIONAL  
USC00322695  46.6167  -97.6383  350.5 ND ENDERLIN 2W                                  PSEUDONORMALS
USC00322809  47.1906 -103.2247  838.2 ND FAIRFIELD                                    TRADITIONAL  
USC00322949  47.6456  -99.6219  493.8 ND FESSENDEN                                    TRADITIONAL  
USC00323004  46.4581 -101.2000  603.5 ND FLASHER                                      TRADITIONAL  
USC00323064  46.0347  -98.9436  627.9 ND FORBES 10 NW                                 TRADITIONAL  
USC00323117  46.0333  -97.5950  381.0 ND FORMAN 5 SSE                                 TRADITIONAL  
USC00323207  46.0500 -100.6667  510.5 ND FT YATES 4 SW                      HCN       TRADITIONAL  
USC00323217  48.4583 -101.5697  510.5 ND FOXHOLM 7 N                                  PSEUDONORMALS
USC00323287  46.1581  -98.4000  437.4 ND FULLERTON 1 ESE                    HCN       TRADITIONAL  
USC00323309  46.6275  -99.1383  594.7 ND GACKLE                                       TRADITIONAL  
USC00323376  47.6539 -101.4197  588.9 ND GARRISON                                     TRADITIONAL  
USC00323529  47.1550 -102.0706  566.9 ND GOLDEN VALLEY 9S                             PSEUDONORMALS
USC00323594  48.4181  -97.4247  252.1 ND GRAFTON                            HCN       TRADITIONAL  
USC00323621  47.9217  -97.0981  253.0 ND GRAND FORKS UNIV NWS               HCN       TRADITIONAL  
USC00323686  48.2675 -100.8439  460.2 ND GRANVILLE                                    TRADITIONAL  
USC00323705  47.4011 -103.2072  813.8 ND GRASSY BUTTE 2ENE                            TRADITIONAL  
USC00323826  46.0250  -99.9911  578.5 ND HAGUE                                        TRADITIONAL  
USC00323846  47.3544 -102.3372  627.9 ND HALLIDAY                                     PSEUDONORMALS
USC00323963  48.9989  -99.3464  469.4 ND HANSBORO 4 NNE                               TRADITIONAL  
USC00324013  47.8083  -99.8758  491.0 ND HARVEY 4NE                                   TRADITIONAL  
USC00324083  46.5172 -100.3486  604.1 ND HAZELTON 4NW                                 TRADITIONAL  
USC00324091  46.5917 -101.8075  650.4 ND HEART BUTTE DAM                              TRADITIONAL  
USC00324102  46.9028 -102.0478  660.5 ND HEBRON                                       TRADITIONAL  
USC00324178  45.9925 -102.6442  816.9 ND HETTINGER                          HCN       TRADITIONAL  
USC00324180  46.0044 -102.6472  823.9 ND HETTINGER EXP STN                            PSEUDONORMALS
USC00324203  47.4389  -97.0664  277.4 ND HILLSBORO 3 N                      HCN       TRADITIONAL  
USC00324372  48.4603  -99.5322  475.5 ND HURRICANE LAKE                               PSEUDONORMALS
USC00324418  46.8844  -98.6850  447.1 ND JAMESTOWN STATE HOSP               HCN       TRADITIONAL  
USC00324571  47.8967 -102.9208  752.9 ND KEENE 3S                                     TRADITIONAL  
USC00324646  48.6692 -102.0975  551.7 ND KENMARE 1 WSW                                TRADITIONAL  
USC00324722  47.3714 -102.7606  704.1 ND KILLDEER                                     PSEUDONORMALS
USC00324879  48.9797 -100.3344  652.9 ND LAKE METIGOSHE SP                            TRADITIONAL  
USC00324937  46.3547  -98.2928  401.1 ND LA MOURE                                     TRADITIONAL  
USC00324958  48.7622  -98.3447  492.3 ND LANGDON EXP FARM                   HCN       TRADITIONAL  
USC00325002  48.6278 -101.3767  490.7 ND LANSFORD                                     PSEUDONORMALS
USC00325078  48.2881  -99.4317  466.3 ND LEEDS                                        TRADITIONAL  
USC00325090  46.1767 -101.6706  691.6 ND LEITH 13SW                                   PSEUDONORMALS
USC00325186  46.0725  -97.1461  342.9 ND LIDGERWOOD                                   TRADITIONAL  
USC00325210  46.2667 -100.2306  515.1 ND LINTON                                       TRADITIONAL  
USC00325220  46.4386  -97.6856  337.4 ND LISBON                             HCN       TRADITIONAL  
USC00325230  46.6611  -98.2267  451.7 ND LITCHVILLE 2NW                               TRADITIONAL  
USC00325434  47.9619  -99.5261  492.3 ND MADDOCK                                      TRADITIONAL  
USC00325479  46.8128 -100.9097  533.4 ND MANDAN EXP STN                     HCN       TRADITIONAL  
USC00325575  46.2911 -103.9214  826.0 ND MARMARTH                                     TRADITIONAL  
USC00325638  47.8214 -101.2922  643.1 ND MAX                                          TRADITIONAL  
USC00325660  47.4989  -97.3514  288.3 ND MAYVILLE                                     TRADITIONAL  
USC00325710  47.4825 -100.4444  587.3 ND MC CLUSKY                                    TRADITIONAL  
USC00325730  47.5808  -98.6422  474.0 ND MC HENRY 3W                                  TRADITIONAL  
USC00325754  46.4025  -97.2381  327.7 ND MC LEOD 3 E                                  TRADITIONAL  
USC00325764  47.7619  -98.1817  447.1 ND MC VILLE                                     TRADITIONAL  
USC00325798  46.8928  -99.2897  551.7 ND MEDINA                                       TRADITIONAL  
USC00325813  46.9161 -103.5264  691.3 ND MEDORA                                       TRADITIONAL  
USC00325848  48.0781  -99.2656  448.1 ND MINNEWAUKAN                                  TRADITIONAL  
USC00325993  48.1803 -101.2964  539.2 ND MINOT EXP STN                                TRADITIONAL  
USC00326015  46.6706 -100.2294  548.6 ND MOFFIT 3 SE                        HCN       TRADITIONAL  
USC00326025  48.7603 -101.5089  500.2 ND MOHALL                                       TRADITIONAL  
USC00326105  46.7006  -98.5839  428.2 ND MONTPELIER                                   TRADITIONAL  
USC00326155  46.3719 -102.3164  772.7 ND MOTT                               HCN       TRADITIONAL  
USC00326255  46.5067  -99.7692  603.5 ND NAPOLEON                           HCN       TRADITIONAL  
USC00326315  46.5414 -102.8692  804.4 ND NEW ENGLAND                        HCN       TRADITIONAL  
USC00326365  46.8925 -101.4897  655.3 ND NEW SALEM 5NW                                TRADITIONAL  
USC00326620  46.1458  -98.0919  403.6 ND OAKES                                        PSEUDONORMALS
USC00326857  48.4000  -97.7500  295.7 ND PARK RIVER                                   TRADITIONAL  
USC00327027  48.0356  -98.0100  466.3 ND PETERSBURG 2 N                               TRADITIONAL  
USC00327047  47.1167  -99.5333  563.9 ND PETTIBONE                                    TRADITIONAL  
USC00327281  48.5722 -102.6467  672.1 ND POWERS LAKE 1N                               TRADITIONAL  
USC00327311  46.1758 -101.8561  755.9 ND PRETTY ROCK                                  TRADITIONAL  
USC00327450  46.1089 -102.9447  864.1 ND REEDER                                       TRADITIONAL  
USC00327452  46.2856 -102.9511  839.7 ND REEDER 13 N                                  TRADITIONAL  
USC00327465  46.4200 -102.5611  743.7 ND REGENT                                       PSEUDONORMALS
USC00327530  46.8886 -102.3192  752.9 ND RICHARDTON ABBEY                   HCN       TRADITIONAL  
USC00327655  48.6297  -99.8069  493.8 ND ROLETTE 3SE                                  PSEUDONORMALS
USC00327664  48.8811  -99.5861  558.7 ND ROLLA 1NE                                    TRADITIONAL  
USC00327704  48.3542  -99.9925  472.4 ND RUGBY                                        TRADITIONAL  
USC00327986  47.5983  -97.9000  464.8 ND SHARON                                       TRADITIONAL  
USC00328047  48.9992 -101.6278  502.0 ND SHERWOOD 3 N                                 TRADITIONAL  
USC00328065  46.2331 -101.1292  550.5 ND SHIELDS                                      TRADITIONAL  
USC00328276  48.3567 -102.4117  694.9 ND STANLEY 3 NNW                                TRADITIONAL  
USC00328366  46.8917  -99.9325  574.5 ND STEELE 3N                                    TRADITIONAL  
USC00328415  46.7153  -99.4475  597.7 ND STREETER 5 NW                                TRADITIONAL  
USC00328608  47.4647  -99.3983  498.0 ND SYKESTON                                     TRADITIONAL  
USC00328627  48.3475 -101.9325  661.4 ND TAGUS                                        TRADITIONAL  
USC00328660  46.9989 -102.4761  676.7 ND TAYLOR 7 NNW                                 PSEUDONORMALS
USC00328737  48.3989 -102.9181  684.3 ND TIOGA 1E                                     TRADITIONAL  
USC00328792  48.3706 -100.3908  451.1 ND TOWNER 2 NE                        HCN       TRADITIONAL  
USC00328812  47.2842 -103.9006  737.6 ND TROTTERS 3 SSE                               TRADITIONAL  
USC00328840  47.5214 -100.8883  577.0 ND TURTLE LAKE                                  TRADITIONAL  
USC00328850  47.1333 -100.0000  572.7 ND TUTTLE                                       TRADITIONAL  
USC00328853  47.3014  -99.9189  640.1 ND TUTTLE 12NNE                                 PSEUDONORMALS
USC00328872  47.4550 -101.1461  623.3 ND UNDERWOOD                                    TRADITIONAL  
USC00328913  48.6147 -100.7264  434.3 ND UPHAM 3 N                                    TRADITIONAL  
USC00328937  46.9558  -98.0203  368.8 ND VALLEY CITY 3 NNW                            TRADITIONAL  
USC00328990  48.0797 -100.8750  467.9 ND VELVA 3NE                                    TRADITIONAL  
USC00329035  46.3639  -98.0758  417.6 ND VERONA                                       TRADITIONAL  
USC00329100  46.3233  -96.6108  291.4 ND WAHPETON 3 N                       HCN       TRADITIONAL  
USC00329155  48.9133  -97.9181  286.5 ND WALHALLA 1 SW                                TRADITIONAL  
USC00329195  47.2844 -101.0267  528.8 ND WASHBURN                                     TRADITIONAL  
USC00329233  47.8039 -103.2892  661.4 ND WATFORD CITY                                 TRADITIONAL  
USC00329246  47.6000 -103.2597  617.8 ND WATFORD CITY 14S                             TRADITIONAL  
USC00329333  48.9097 -101.0192  457.8 ND WESTHOPE                                     TRADITIONAL  
USC00329400  48.6631 -103.2131  688.8 ND WILDROSE 3NW                                 TRADITIONAL  
USC00329430  48.1375 -103.7372  641.6 ND WILLISTON EXP FARM                           TRADITIONAL  
USC00329445  48.6061 -100.2911  449.0 ND WILLOW CITY                        HCN       TRADITIONAL  
USC00329455  47.1603 -100.7892  666.9 ND WILTON                                       TRADITIONAL  
USC00329515  46.2608  -99.5600  620.9 ND WISHEK                                       PSEUDONORMALS
USC00329575  47.1844  -99.2917  585.2 ND WOODWORTH 3NE                                TRADITIONAL  
USC00329650  47.2878 -101.9400  556.3 ND ZAP                                          TRADITIONAL  
USC00330061  41.0803  -81.5169  329.2 OH AKRON                                        TRADITIONAL  
USC00330256  40.8333  -82.3500  385.6 OH ASHLAND 2 SW                                 TRADITIONAL  
USC00330264  41.8500  -80.8000  210.3 OH ASHTABULA                                    TRADITIONAL  
USC00330279  39.3428  -82.0964  243.8 OH ATHENS 1 N                                   TRADITIONAL  
USC00330430  39.9917  -81.1850  390.1 OH BARNESVILLE                                  TRADITIONAL  
USC00330563  40.3533  -83.7747  361.2 OH BELLEFONTAINE                                TRADITIONAL  
USC00330573  39.1161  -81.7439  170.7 OH BELLEVILLE L&D                               TRADITIONAL  
